date,sku,units,price,on_promotion
2022-01-01,SKU-ALPHA,191.0,24.99,False
2022-01-02,SKU-ALPHA,136.0,24.99,False
2022-01-03,SKU-ALPHA,169.0,24.99,False
2022-01-04,SKU-ALPHA,175.0,24.99,False
2022-01-05,SKU-ALPHA,179.0,24.99,False
2022-01-06,SKU-ALPHA,156.0,24.99,False
2022-01-07,SKU-ALPHA,182.0,24.99,False
2022-01-08,SKU-ALPHA,179.0,24.99,False
2022-01-09,SKU-ALPHA,164.0,24.99,False
2022-01-10,SKU-ALPHA,196.0,24.99,False
2022-01-11,SKU-ALPHA,165.0,24.99,False
2022-01-12,SKU-ALPHA,178.0,24.99,False
2022-01-13,SKU-ALPHA,198.0,24.99,False
2022-01-14,SKU-ALPHA,182.0,24.99,False
2022-01-15,SKU-ALPHA,196.0,24.99,False
2022-01-16,SKU-ALPHA,181.0,24.99,False
2022-01-17,SKU-ALPHA,183.0,24.99,False
2022-01-18,SKU-ALPHA,160.0,24.99,False
2022-01-19,SKU-ALPHA,183.0,24.99,False
2022-01-20,SKU-ALPHA,209.0,24.99,False
2022-01-21,SKU-ALPHA,168.0,24.99,False
2022-01-22,SKU-ALPHA,217.0,24.99,False
2022-01-23,SKU-ALPHA,184.0,24.99,False
2022-01-24,SKU-ALPHA,174.0,24.99,False
2022-01-25,SKU-ALPHA,216.0,24.99,False
2022-01-26,SKU-ALPHA,197.0,24.99,False
2022-01-27,SKU-ALPHA,245.0,21.24,True
2022-01-28,SKU-ALPHA,290.0,21.24,True
2022-01-29,SKU-ALPHA,313.0,21.24,True
2022-01-30,SKU-ALPHA,265.0,21.24,True
2022-01-31,SKU-ALPHA,289.0,21.24,True
2022-02-01,SKU-ALPHA,268.0,21.24,True
2022-02-02,SKU-ALPHA,199.0,24.99,False
2022-02-03,SKU-ALPHA,218.0,24.99,False
2022-02-04,SKU-ALPHA,190.0,24.99,False
2022-02-05,SKU-ALPHA,213.0,24.99,False
2022-02-06,SKU-ALPHA,181.0,24.99,False
2022-02-07,SKU-ALPHA,194.0,24.99,False
2022-02-08,SKU-ALPHA,170.0,24.99,False
2022-02-09,SKU-ALPHA,182.0,24.99,False
2022-02-10,SKU-ALPHA,193.0,24.99,False
2022-02-11,SKU-ALPHA,223.0,24.99,False
2022-02-12,SKU-ALPHA,235.0,24.99,False
2022-02-13,SKU-ALPHA,170.0,24.99,False
2022-02-14,SKU-ALPHA,182.0,24.99,False
2022-02-15,SKU-ALPHA,205.0,24.99,False
2022-02-16,SKU-ALPHA,161.0,24.99,False
2022-02-17,SKU-ALPHA,193.0,24.99,False
2022-02-18,SKU-ALPHA,209.0,24.99,False
2022-02-19,SKU-ALPHA,243.0,24.99,False
2022-02-20,SKU-ALPHA,210.0,24.99,False
2022-02-21,SKU-ALPHA,194.0,24.99,False
2022-02-22,SKU-ALPHA,192.0,24.99,False
2022-02-23,SKU-ALPHA,196.0,24.99,False
2022-02-24,SKU-ALPHA,234.0,24.99,False
2022-02-25,SKU-ALPHA,208.0,24.99,False
2022-02-26,SKU-ALPHA,217.0,24.99,False
2022-02-27,SKU-ALPHA,209.0,24.99,False
2022-02-28,SKU-ALPHA,203.0,24.99,False
2022-03-01,SKU-ALPHA,200.0,24.99,False
2022-03-02,SKU-ALPHA,185.0,24.99,False
2022-03-03,SKU-ALPHA,211.0,24.99,False
2022-03-04,SKU-ALPHA,212.0,24.99,False
2022-03-05,SKU-ALPHA,253.0,24.99,False
2022-03-06,SKU-ALPHA,220.0,24.99,False
2022-03-07,SKU-ALPHA,210.0,24.99,False
2022-03-08,SKU-ALPHA,221.0,24.99,False
2022-03-09,SKU-ALPHA,204.0,24.99,False
2022-03-10,SKU-ALPHA,237.0,24.99,False
2022-03-11,SKU-ALPHA,227.0,24.99,False
2022-03-12,SKU-ALPHA,247.0,24.99,False
2022-03-13,SKU-ALPHA,188.0,24.99,False
2022-03-14,SKU-ALPHA,222.0,24.99,False
2022-03-15,SKU-ALPHA,181.0,24.99,False
2022-03-16,SKU-ALPHA,176.0,24.99,False
2022-03-17,SKU-ALPHA,215.0,24.99,False
2022-03-18,SKU-ALPHA,310.0,21.24,True
2022-03-19,SKU-ALPHA,353.0,21.24,True
2022-03-20,SKU-ALPHA,379.0,21.24,True
2022-03-21,SKU-ALPHA,296.0,21.24,True
2022-03-22,SKU-ALPHA,299.0,21.24,True
2022-03-23,SKU-ALPHA,326.0,21.24,True
2022-03-24,SKU-ALPHA,343.0,21.24,True
2022-03-25,SKU-ALPHA,340.0,21.24,True
2022-03-26,SKU-ALPHA,241.0,24.99,False
2022-03-27,SKU-ALPHA,237.0,24.99,False
2022-03-28,SKU-ALPHA,236.0,24.99,False
2022-03-29,SKU-ALPHA,203.0,24.99,False
2022-03-30,SKU-ALPHA,224.0,24.99,False
2022-03-31,SKU-ALPHA,233.0,24.99,False
2022-04-01,SKU-ALPHA,220.0,24.99,False
2022-04-02,SKU-ALPHA,258.0,24.99,False
2022-04-03,SKU-ALPHA,211.0,24.99,False
2022-04-04,SKU-ALPHA,251.0,24.99,False
2022-04-05,SKU-ALPHA,233.0,24.99,False
2022-04-06,SKU-ALPHA,233.0,24.99,False
2022-04-07,SKU-ALPHA,225.0,24.99,False
2022-04-08,SKU-ALPHA,246.0,24.99,False
